number,active_unresolved_non_outdated,thread_count,title,url
544,0,0,"Add dogfood proof for 2026-05-29 runs 2-15",https://github.com/bmdhodl/agent47/pull/544
543,0,1,"Add dogfood proof for 2026-05-29 run1",https://github.com/bmdhodl/agent47/pull/543
542,0,0,"Add dogfood proof for 2026-05-28 runs 15-22",https://github.com/bmdhodl/agent47/pull/542
541,0,0,"docs(readme): correct exfiltration guard claim",https://github.com/bmdhodl/agent47/pull/541
540,0,0,"Add dogfood proof for 2026-05-28 run8",https://github.com/bmdhodl/agent47/pull/540
539,0,3,"Add dogfood proof for 2026-05-28 run7",https://github.com/bmdhodl/agent47/pull/539
538,0,1,"Add dogfood proof for 2026-05-28 run6",https://github.com/bmdhodl/agent47/pull/538
537,0,1,"Add dogfood proof for 2026-05-28 run5",https://github.com/bmdhodl/agent47/pull/537
536,0,1,"Add dogfood proof for 2026-05-28 run4",https://github.com/bmdhodl/agent47/pull/536
534,0,0,"Add dogfood proof for 2026-05-28 run3",https://github.com/bmdhodl/agent47/pull/534
533,0,1,"Add dogfood proof for 2026-05-28 run2",https://github.com/bmdhodl/agent47/pull/533
532,0,2,"Add dogfood proof for 2026-05-28 run1",https://github.com/bmdhodl/agent47/pull/532
530,0,3,"fix: attribute goal costs from worker threads",https://github.com/bmdhodl/agent47/pull/530
529,0,1,"Add dogfood proof for 2026-05-27 run9",https://github.com/bmdhodl/agent47/pull/529
528,0,1,"Add dogfood proof for 2026-05-27 run8",https://github.com/bmdhodl/agent47/pull/528
527,0,3,"Add dogfood proof for 2026-05-27 run7",https://github.com/bmdhodl/agent47/pull/527
526,0,1,"Add dogfood proof for 2026-05-27 run6",https://github.com/bmdhodl/agent47/pull/526
525,0,4,"Add dogfood proof for 2026-05-27 run5",https://github.com/bmdhodl/agent47/pull/525
524,0,0,"Harden package metadata fallback from dogfood run4",https://github.com/bmdhodl/agent47/pull/524
523,0,2,"Add dogfood proof for 2026-05-27 run3",https://github.com/bmdhodl/agent47/pull/523
520,6,6,"Add tag-triggered GitHub Release workflow",https://github.com/bmdhodl/agent47/pull/520
519,0,4,"Fix review-loop dogfood cost proof",https://github.com/bmdhodl/agent47/pull/519
518,1,1,"Add dogfood proof for 2026-05-27 run1",https://github.com/bmdhodl/agent47/pull/518
517,0,4,"Add dogfood proof for 2026-05-26 run2",https://github.com/bmdhodl/agent47/pull/517
516,0,2,"Add dogfood proof for 2026-05-26 run1",https://github.com/bmdhodl/agent47/pull/516
510,0,0,"chore(deps): bump qs from 6.15.0 to 6.15.2 in /mcp-server",https://github.com/bmdhodl/agent47/pull/510
509,0,0,"chore(deps): bump github/codeql-action from 4.35.3 to 4.36.0",https://github.com/bmdhodl/agent47/pull/509
508,0,0,"chore(deps): bump actions/setup-go from 5.6.0 to 6.4.0",https://github.com/bmdhodl/agent47/pull/508
506,0,0,"Add dogfood proof for 2026-05-22 run 11",https://github.com/bmdhodl/agent47/pull/506
505,0,5,"Add dogfood proof for 2026-05-22 run 10",https://github.com/bmdhodl/agent47/pull/505
504,0,4,"Add dogfood proof for 2026-05-22 run 9",https://github.com/bmdhodl/agent47/pull/504
503,0,1,"Add dogfood proof for 2026-05-22 run 8",https://github.com/bmdhodl/agent47/pull/503
502,0,1,"Fix review-loop dogfood cost accounting",https://github.com/bmdhodl/agent47/pull/502
501,0,5,"Add dogfood proof for 2026-05-22 run 7",https://github.com/bmdhodl/agent47/pull/501
500,0,4,"Add dogfood proof for 2026-05-22 run 6",https://github.com/bmdhodl/agent47/pull/500
499,0,4,"Add dogfood proof for 2026-05-22 run 5",https://github.com/bmdhodl/agent47/pull/499
498,0,1,"Add dogfood proof for 2026-05-22 run 4",https://github.com/bmdhodl/agent47/pull/498
497,0,0,"Add dogfood proof for 2026-05-22 run 3",https://github.com/bmdhodl/agent47/pull/497
496,0,2,"Add dogfood proof for 2026-05-22 run 2",https://github.com/bmdhodl/agent47/pull/496
495,0,3,"Add dogfood proof for 2026-05-22",https://github.com/bmdhodl/agent47/pull/495
494,0,7,"Add dogfood proof for 2026-05-21 run 4",https://github.com/bmdhodl/agent47/pull/494
493,0,2,"Add dogfood proof for 2026-05-21 run 3",https://github.com/bmdhodl/agent47/pull/493
491,0,0,"Add dogfood proof for 2026-05-21",https://github.com/bmdhodl/agent47/pull/491
480,0,0,"Make coding-agent review loop proof deterministic",https://github.com/bmdhodl/agent47/pull/480
479,0,0,"chore(deps): bump ruff from 0.15.12 to 0.15.13 in /.github/requirements",https://github.com/bmdhodl/agent47/pull/479
476,0,7,"Add custom resource attributes and span links to OtelTraceSink",https://github.com/bmdhodl/agent47/pull/476
475,0,7,"Add local-first agent template example",https://github.com/bmdhodl/agent47/pull/475
474,0,2,"Add audit-only MCP tool-call audit-log primitive",https://github.com/bmdhodl/agent47/pull/474
471,0,1,"fix: report source version in local doctor runs",https://github.com/bmdhodl/agent47/pull/471
460,0,0,"chore(deps): bump fast-uri from 3.1.0 to 3.1.2 in /mcp-server",https://github.com/bmdhodl/agent47/pull/460
